,Smiles,Property,Value,Units,Notes
47,CC(O)COC(=O)C=C.CC(=O)OC=C.ClC=C,Glass Transition Temperature,336.0,K,
48,CC(O)COC(=O)C=C.CC(=O)OC=C.ClC=C,Glass Transition Temperature,340.5,K,
49,CC(O)COC(=O)C=C.CC(=O)OC=C.ClC=C,Glass Transition Temperature,326.0,K,
50,CCF,Glass Transition Temperature,315.5,K,
51,CCF,Glass Transition Temperature,253.0,K,
52,CCF,Glass Transition Temperature,318.0,K,
53,CCF,Glass Transition Temperature,255.5,K,
54,FC(F)=C,Glass Transition Temperature,233.0,K,
55,FC(F)=C(F)F.C=C,Glass Transition Temperature,383.0,K,
56,FC(F)=C(F)Cl,Glass Transition Temperature,323.0,K,
57,FC(F)=C(F)Cl,Glass Transition Temperature,358.0,K,
58,FC(F)=C.FC(F)=C(F)F,Glass Transition Temperature,223.0,K,
59,FC(F)=C.FC(F)=C(F)F,Glass Transition Temperature,226.0,K,
60,CCc1ccccc1C=C.CNC.C=Cc2ccccc2.C=Cc3ccccc3C=C,Glass Transition Temperature,557.6666667000001,K,
61,O=C1OCCCO1,Glass Transition Temperature,248.0,K,
62,O=C1OCCCO1,Glass Transition Temperature,255.0,K,
63,O=C1OCCCO1,Glass Transition Temperature,252.0,K,
64,C1Cc2ccc(CCc3ccc1cc3)cc2,Glass Transition Temperature,363.0,K,
65,C1Cc2ccc(CCc3ccc1cc3)cc2,Glass Transition Temperature,330.5,K,
66,C1Cc2ccc(CCc3ccc1cc3)cc2,Glass Transition Temperature,319.5,K,
67,C1Cc2ccc(CCc3ccc1cc3)cc2,Glass Transition Temperature,383.0,K,
68,[K+].[O-]C(=O)C=C,Glass Transition Temperature,401.0,K,
69,CCOC(=O)C=C,Glass Transition Temperature,249.0,K,
70,CCOC(=O)C=C,Glass Transition Temperature,249.0,K,
71,CCOC(=O)C=C,Glass Transition Temperature,248.0,K,
72,OC=C,Glass Transition Temperature,358.0,K,
73,OC=C,Glass Transition Temperature,331.0,K,
74,OC=C,Glass Transition Temperature,358.0,K,
75,OC=C,Glass Transition Temperature,353.0,K,
76,OC=C,Glass Transition Temperature,323.0,K,
77,CC(C)CC=C,Glass Transition Temperature,290.0,K,
78,CC(C)CC=C,Glass Transition Temperature,311.0,K,
79,CC(C)CC=C,Glass Transition Temperature,315.0,K,
80,CC(C)CC=C,Glass Transition Temperature,307.0,K,
81,CC(C)CC=C,Glass Transition Temperature,298.0,K,
82,CC(C)CC=C,Glass Transition Temperature,315.0,K,
83,CC(C)(c1ccc(O)cc1)c2ccc(O)cc2.CC(C)(c3cc(Br)c(O)c(Br)c3)c4cc(Br)c(O)c(Br)c4.ClC(Cl)=O,Glass Transition Temperature,458.0,K,
84,CC(C)(c1ccc(O)cc1)c2ccc(O)cc2.CC(C)(c3cc(Br)c(O)c(Br)c3)c4cc(Br)c(O)c(Br)c4.ClC(Cl)=O,Glass Transition Temperature,480.0,K,
85,CC(C)(c1ccc(O)cc1)c2ccc(O)cc2.CC(C)(c3cc(Br)c(O)c(Br)c3)c4cc(Br)c(O)c(Br)c4.ClC(Cl)=O,Glass Transition Temperature,485.0,K,
86,CC(C)(c1ccc(O)cc1)c2ccc(O)cc2.OC(O)=O,Glass Transition Temperature,418.0,K,
87,CC(C)(c1ccc(O)cc1)c2ccc(O)cc2.OC(O)=O,Glass Transition Temperature,411.0,K,
88,CC(C)(c1ccc(O)cc1)c2ccc(O)cc2.OC(O)=O,Glass Transition Temperature,409.0,K,
89,CC(C)(c1ccc(O)cc1)c2ccc(O)cc2.OC(O)=O,Glass Transition Temperature,407.0,K,
90,CC(C)(c1ccc(O)cc1)c2ccc(O)cc2.OC(O)=O,Glass Transition Temperature,406.0,K,
91,CC(C)(c1ccc(O)cc1)c2ccc(O)cc2.OC(O)=O,Glass Transition Temperature,406.0,K,
92,CC(C)(c1ccc(O)cc1)c2ccc(O)cc2.ClC(Cl)=O.ClC(=O)c3ccc(cc3)C(Cl)=O.ClC(=O)c4cccc(c4)C(Cl)=O,Glass Transition Temperature,443.0,K,
93,CC(C)(c1ccc(O)cc1)c2ccc(O)cc2.ClC(Cl)=O.ClC(=O)c3ccc(cc3)C(Cl)=O.ClC(=O)c4cccc(c4)C(Cl)=O,Glass Transition Temperature,457.0,K,
94,C=Cc1ccccc1,Glass Transition Temperature,376.0,K,
95,ClCC1(CCl)COC1,Glass Transition Temperature,219.0,K,
96,CC1CO1.C=CCOCC2CO2,Glass Transition Temperature,211.0,K,
97,C=C,Glass Transition Temperature,233.0,K,
98,CCCCCCCCC=C,Glass Transition Temperature,243.5,K,
99,CCCCCCCCC=C,Glass Transition Temperature,238.0,K,
100,CCCCCCCCC=C,Glass Transition Temperature,232.0,K,
101,COC(=O)c1ccc(cc1)C(=O)OC.OCCCCO,Glass Transition Temperature,371.0,K,
102,COC(=O)c1ccc(cc1)C(=O)OC.OCCCCO,Glass Transition Temperature,317.0,K,
103,OCCCCOC(=O)c1ccc(cc1)C(=O)OCCCCOC(=O)c2ccc(cc2)C(O)=O,Glass Transition Temperature,243.0,K,
104,OCCCCOC(=O)c1ccc(cc1)C(=O)OCCCCOC(=O)c2ccc(cc2)C(O)=O,Glass Transition Temperature,214.0,K,
105,OCCCCOC(=O)c1ccc(cc1)C(=O)OCCCCOC(=O)c2ccc(cc2)C(O)=O,Glass Transition Temperature,208.0,K,
106,OCCCCOC(=O)c1ccc(cc1)C(=O)OCCCCOC(=O)c2ccc(cc2)C(O)=O,Glass Transition Temperature,241.0,K,
107,OCCCCOC(=O)c1ccc(cc1)C(=O)OCCCCOC(=O)c2ccc(cc2)C(O)=O,Glass Transition Temperature,225.0,K,
108,OCCCCOC(=O)c1ccc(cc1)C(=O)OCCCCOC(=O)c2ccc(cc2)C(O)=O,Glass Transition Temperature,220.0,K,
109,OCCCCOC(=O)c1ccc(cc1)C(=O)OCCCCOC(=O)c2ccc(cc2)C(O)=O,Glass Transition Temperature,230.0,K,
110,OCCCCOC(=O)c1ccc(cc1)C(=O)OCCCCOC(=O)c2ccc(cc2)C(O)=O,Glass Transition Temperature,223.5,K,
111,OCCCCOC(=O)c1ccc(cc1)C(=O)OCCCCOC(=O)c2ccc(cc2)C(O)=O,Glass Transition Temperature,248.0,K,
112,OCCCCOC(=O)c1ccc(cc1)C(=O)OCCCCOC(=O)c2ccc(cc2)C(O)=O,Glass Transition Temperature,323.0,K,
113,C=CCC=C,Calculated Glass Transition Temperature,208,K,
114,O=C(C(=C)C)NCc1ccccc1,Calculated Glass Transition Temperature,495,K,
115,COC(=O)C(=C)C,Glass Transition Temperature,367 - 395,K,
116,COC(=O)C(=C)C,Glass Transition Temperature,311 - 323,K,
117,COC(=O)C(=C)C,Preferred Glass Transition Temperature,378,K,
118,COC(=O)C(=C)C,Preferred Glass Transition Temperature,317,K,
119,COC(=O)C(=C)C,Calculated Glass Transition Temperature,352 - 385,K,
120,COC(=O)C(=C)C,Calculated Glass Transition Temperature,325,K,
121,COC(=O)C(=C)C,Preferred Calculated Glass Transition Temperature,375,K,
122,COC(=O)C(=C)C,Preferred Calculated Glass Transition Temperature,325,K,
123,C=CC=C,Glass Transition Temperature,166 - 171,K,
124,C=CC=C,Glass Transition Temperature,167 - 178,K,
125,C=CC=C,Preferred Glass Transition Temperature,171,K,
126,C=CC=C,Calculated Glass Transition Temperature,170 - 187,K,
127,C=CC=C,Preferred Calculated Glass Transition Temperature,178,K,
128,O=C1CCCCCCCN1,Glass Transition Temperature,323 - 324,K,
129,O=C1CCCCCCCN1,Preferred Glass Transition Temperature,324,K,
130,O=C1CCCCCCCN1,Calculated Glass Transition Temperature,313 - 325,K,
131,O=C1CCCCCCCN1,Preferred Calculated Glass Transition Temperature,322,K,
132,C=Cc1cc(F)ccc1F,Glass Transition Temperature,374,K,
133,C=Cc1cc(F)ccc1F,Calculated Glass Transition Temperature,386 - 391,K,
134,C=Cc1cc(F)ccc1F,Preferred Calculated Glass Transition Temperature,389,K,
135,CCCOC(=O)C(=C)C,Glass Transition Temperature,308 - 332,K,
136,CCCOC(=O)C(=C)C,Preferred Glass Transition Temperature,319,K,
137,CCCOC(=O)C(=C)C,Calculated Glass Transition Temperature,311 - 329,K,
138,CCCOC(=O)C(=C)C,Preferred Calculated Glass Transition Temperature,320,K,
139,OC(=O)CCCCCCCCC(=O)O.OCCCCO,Glass Transition Temperature,211 - 216,K,
140,OC(=O)CCCCCCCCC(=O)O.OCCCCO,Preferred Glass Transition Temperature,214,K,
141,OC(=O)CCCCCCCCC(=O)O.OCCCCO,Calculated Glass Transition Temperature,202 - 229,K,
142,OC(=O)CCCCCCCCC(=O)O.OCCCCO,Preferred Calculated Glass Transition Temperature,216,K,
143,CCCCC=C,Glass Transition Temperature,223,K,
144,CCCCC=C,Calculated Glass Transition Temperature,216 - 232,K,
145,CCCCC=C,Preferred Calculated Glass Transition Temperature,226,K,
146,COC(=O)C(=C)C#N,Glass Transition Temperature,433 - 438,K,
147,COC(=O)C(=C)C#N,Preferred Glass Transition Temperature,436,K,
148,COC(=O)C(=C)C#N,Calculated Glass Transition Temperature,425,K,
149,OC(=O)CCC(=O)O.OCCCO,Glass Transition Temperature,232,K,
150,OC(=O)CCC(=O)O.OCCCO,Calculated Glass Transition Temperature,241 - 249,K,
151,OC(=O)CCC(=O)O.OCCCO,Preferred Calculated Glass Transition Temperature,245,K,
152,COCC1CO1,Glass Transition Temperature,211,K,
153,COCC1CO1,Calculated Glass Transition Temperature,210 - 222,K,
154,COCC1CO1,Preferred Calculated Glass Transition Temperature,210,K,
155,Oc1ccc(cc1)Cc1ccc(cc1)O.ClC(=O)Cl,Glass Transition Temperature,393 - 420,K,
156,Oc1ccc(cc1)Cc1ccc(cc1)O.ClC(=O)Cl,Preferred Glass Transition Temperature,407,K,
157,Oc1ccc(cc1)Cc1ccc(cc1)O.ClC(=O)Cl,Calculated Glass Transition Temperature,405 - 449,K,
158,Oc1ccc(cc1)Cc1ccc(cc1)O.ClC(=O)Cl,Preferred Calculated Glass Transition Temperature,427,K,
159,CCSC=C,Glass Transition Temperature,266,K,
160,CCSC=C,Calculated Glass Transition Temperature,264 - 266,K,
161,CCSC=C,Preferred Calculated Glass Transition Temperature,265,K,
162,CC(=C)C(=O)Oc1ccccc1,Glass Transition Temperature,353 - 383,K,
163,CC(=C)C(=O)Oc1ccccc1,Preferred Glass Transition Temperature,383,K,
164,CC(=C)C(=O)Oc1ccccc1,Calculated Glass Transition Temperature,387,K,
165,CCCCCCCC=C,Glass Transition Temperature,225,K,
166,CCCCCCCC=C,Calculated Glass Transition Temperature,200 - 231,K,
167,CCCCCCCC=C,Preferred Calculated Glass Transition Temperature,220,K,
168,CCCCOC(=O)/C=C/C(=O)OCCCC,Calculated Glass Transition Temperature,228 - 274,K,
169,CCCCOC(=O)/C=C/C(=O)OCCCC,Preferred Calculated Glass Transition Temperature,242,K,
170,C=COC(=O)CC,Glass Transition Temperature,283,K,
171,C=COC(=O)CC,Calculated Glass Transition Temperature,273 - 309,K,
172,C=COC(=O)CC,Preferred Calculated Glass Transition Temperature,288,K,
173,ClC(=C)Cl,Glass Transition Temperature,255 - 258,K,
174,ClC(=C)Cl,Glass Transition Temperature,280 - 288,K,
175,ClC(=C)Cl,Preferred Glass Transition Temperature,256,K,
176,ClC(=C)Cl,Preferred Glass Transition Temperature,284,K,
177,ClC(=C)Cl,Calculated Glass Transition Temperature,254,K,
178,ClC(=C)Cl,Calculated Glass Transition Temperature,295,K,
179,OC(=O)c1ccc(cc1)C(=O)O.OCCCCO,Glass Transition Temperature,290 - 353,K,
180,OC(=O)c1ccc(cc1)C(=O)O.OCCCCO,Preferred Glass Transition Temperature,313,K,
181,OC(=O)c1ccc(cc1)C(=O)O.OCCCCO,Calculated Glass Transition Temperature,313 - 325,K,
182,OC(=O)c1ccc(cc1)C(=O)O.OCCCCO,Preferred Calculated Glass Transition Temperature,313,K,
183,C=O,Glass Transition Temperature,188 - 243,K,
184,C=O,Preferred Glass Transition Temperature,211,K,
185,C=O,Calculated Glass Transition Temperature,207 - 226,K,
186,C=O,Preferred Calculated Glass Transition Temperature,216,K,
187,CC(=O)C(C)=C,Glass Transition Temperature,353 - 387,K,
188,CC(=O)C(C)=C,Preferred Glass Transition Temperature,370,K,
189,CC(=O)C(C)=C,Calculated Glass Transition Temperature,344,K,
190,CCCCCCCCCCCCCCCCCCOC(=O)C(=C)C,Glass Transition Temperature,173,K,
191,CCCCCCCCCCCCCCCCCCOC(=O)C(=C)C,Glass Transition Temperature,311 - 313,K,
192,CCCCCCCCCCCCCCCCCCOC(=O)C(=C)C,Preferred Glass Transition Temperature,312,K,
193,CCCCCCCCCCCCCCCCCCOC(=O)C(=C)C,Calculated Glass Transition Temperature,186,K,
194,CCCCCCCCCCCCCCCCCCOC(=O)C(=C)C,Calculated Glass Transition Temperature,278 - 332,K,
195,CCCCCCCCCCCCCCCCCCOC(=O)C(=C)C,Preferred Calculated Glass Transition Temperature,3051,K,
196,C=Cc1ccc(cc1)O,Glass Transition Temperature,428 - 431,K,
197,C=Cc1ccc(cc1)O,Preferred Glass Transition Temperature,430,K,
198,C=Cc1ccc(cc1)O,Calculated Glass Transition Temperature,443,K,
199,C=Cc1ccc(cc1)O,Calculated Glass Transition Temperature,494,K,
200,C1CCO1,Glass Transition Temperature,195 - 230,K,
201,C1CCO1,Preferred Glass Transition Temperature,197,K,
202,C1CCO1,Calculated Glass Transition Temperature,196 - 220,K,
203,C1CCO1,Preferred Calculated Glass Transition Temperature,196,K,
204,CCCCCCC=C,Glass Transition Temperature,208 - 228,K,
205,CCCCCCC=C,Preferred Glass Transition Temperature,218,K,
206,CCCCCCC=C,Calculated Glass Transition Temperature,203 - 225,K,
207,CCCCCCC=C,Preferred Calculated Glass Transition Temperature,218,K,
208,FC=C,Glass Transition Temperature,253,K,
209,FC=C,Glass Transition Temperature,314 - 337,K,
210,FC=C,Preferred Glass Transition Temperature,253,K,
211,FC=C,Preferred Glass Transition Temperature,326,K,
212,FC=C,Calculated Glass Transition Temperature,269,K,
213,FC=C,Calculated Glass Transition Temperature,338,K,
214,CSC=C,Glass Transition Temperature,272,K,
215,CSC=C,Calculated Glass Transition Temperature,266 - 273,K,
216,CSC=C,Preferred Calculated Glass Transition Temperature,270,K,
217,CCCCC(COC(=O)C=C)CC,Glass Transition Temperature,218 - 223,K,
218,CCCCC(COC(=O)C=C)CC,Preferred Glass Transition Temperature,221,K,
219,CCCCC(COC(=O)C=C)CC,Calculated Glass Transition Temperature,222 - 229,K,
220,CCCCC(COC(=O)C=C)CC,Preferred Calculated Glass Transition Temperature,222,K,
221,CCCCSC=C,Glass Transition Temperature,253,K,
222,CCCCSC=C,Calculated Glass Transition Temperature,254 - 265,K,
223,CCCCSC=C,Preferred Calculated Glass Transition Temperature,254,K,
224,C=CC(=O)OC1CCCCC1,Glass Transition Temperature,285 - 292,K,
225,C=CC(=O)OC1CCCCC1,Preferred Glass Transition Temperature,289,K,
226,C=CC(=O)OC1CCCCC1,Calculated Glass Transition Temperature,283 - 288,K,
227,C=CC(=O)OC1CCCCC1,Preferred Calculated Glass Transition Temperature,286,K,
228,CCCCCCCCNC(=O)C=C,Glass Transition Temperature,220,K,
229,CCCCCCCCNC(=O)C=C,Calculated Glass Transition Temperature,228,K,
230,CCCCCCCCNC(=O)C=C,Preferred Calculated Glass Transition Temperature,228,K,
231,CCCCCCOCC1CO1,Glass Transition Temperature,188 - 190,K,
232,CCCCCCOCC1CO1,Preferred Glass Transition Temperature,189,K,
233,CCCCCCOCC1CO1,Calculated Glass Transition Temperature,184 - 207,K,
234,CCCCCCOCC1CO1,Preferred Calculated Glass Transition Temperature,199,K,
235,CC(=C)C(=O)OC(C)(C)C,Glass Transition Temperature,380 - 395,K,
236,CC(=C)C(=O)OC(C)(C)C,Preferred Glass Transition Temperature,389,K,
237,CC(=C)C(=O)OC(C)(C)C,Calculated Glass Transition Temperature,356 - 359,K,
238,CC(=C)C(=O)OC(C)(C)C,Calculated Glass Transition Temperature,398,K,
239,CC(=C)C(=O)OC(C)(C)C,Preferred Calculated Glass Transition Temperature,378,K,
240,OC(=O)CCC(=O)O.OCCO,Glass Transition Temperature,262 - 272,K,
241,OC(=O)CCC(=O)O.OCCO,Preferred Glass Transition Temperature,267,K,
242,OC(=O)CCC(=O)O.OCCO,Calculated Glass Transition Temperature,248 - 276,K,
243,OC(=O)CCC(=O)O.OCCO,Preferred Calculated Glass Transition Temperature,267,K,
244,C=CC(=O)OC(C)(C)C,Glass Transition Temperature,346,K,
245,C=CC(=O)OC(C)(C)C,Glass Transition Temperature,380,K,
246,C=CC(=O)OC(C)(C)C,Glass Transition Temperature,304 - 316,K,
247,C=CC(=O)OC(C)(C)C,Preferred Glass Transition Temperature,311,K,
248,C=CC(=O)OC(C)(C)C,Calculated Glass Transition Temperature,295 - 332,K,
249,C=CC(=O)OC(C)(C)C,Preferred Calculated Glass Transition Temperature,314,K,
250,CC(=C)C#N,Glass Transition Temperature,383 - 393,K,
251,CC(=C)C#N,Preferred Glass Transition Temperature,388,K,
252,CC(=C)C#N,Calculated Glass Transition Temperature,383,K,
253,OC(=O)c1ccc(cc1)CCCCCc1ccc(cc1)C(=O)O.CC(=O)OC(=O)C,Glass Transition Temperature,319 - 321,K,
254,OC(=O)c1ccc(cc1)CCCCCc1ccc(cc1)C(=O)O.CC(=O)OC(=O)C,Preferred Glass Transition Temperature,320,K,
255,OC(=O)c1ccc(cc1)CCCCCc1ccc(cc1)C(=O)O.CC(=O)OC(=O)C,Calculated Glass Transition Temperature,334,K,
256,OC(=O)C=C,Glass Transition Temperature,348 - 399,K,
257,OC(=O)C=C,Preferred Glass Transition Temperature,374,K,
258,OC(=O)C=C,Calculated Glass Transition Temperature,359,K,
259,CCCCCC(=O)OC=C,Calculated Glass Transition Temperature,232 - 240,K,
260,CCCCCC(=O)OC=C,Preferred Calculated Glass Transition Temperature,236,K,
261,OC(=O)c1ccccc1C(=O)O.OCCO,Glass Transition Temperature,290 - 304,K,
262,OC(=O)c1ccccc1C(=O)O.OCCO,Preferred Glass Transition Temperature,297,K,
263,OC(=O)c1ccccc1C(=O)O.OCCO,Calculated Glass Transition Temperature,303,K,
264,CC(OC(=O)C=C)CC,Glass Transition Temperature,250 - 256,K,
265,CC(OC(=O)C=C)CC,Preferred Glass Transition Temperature,253,K,
266,CC(OC(=O)C=C)CC,Calculated Glass Transition Temperature,231 - 275,K,
267,CC(OC(=O)C=C)CC,Preferred Calculated Glass Transition Temperature,250,K,
268,CC(COC(=O)C(=C)C)O,Glass Transition Temperature,328 - 363,K,
269,CC(COC(=O)C(=C)C)O,Preferred Glass Transition Temperature,349,K,
270,CC(COC(=O)C(=C)C)O,Calculated Glass Transition Temperature,308 - 374,K,
271,CC(COC(=O)C(=C)C)O,Preferred Calculated Glass Transition Temperature,341,K,
272,CCCCOCC1CO1,Glass Transition Temperature,194,K,
273,CCCCOCC1CO1,Calculated Glass Transition Temperature,191 - 210,K,
274,CCCCOCC1CO1,Preferred Calculated Glass Transition Temperature,201,K,
275,Brc1ccc(Br)cc1.Oc1ccccc1,Glass Transition Temperature,353 - 363,K,
276,Brc1ccc(Br)cc1.Oc1ccccc1,Glass Transition Temperature,490,K,
277,Brc1ccc(Br)cc1.Oc1ccccc1,Preferred Glass Transition Temperature,361,K,
278,Brc1ccc(Br)cc1.Oc1ccccc1,Calculated Glass Transition Temperature,375 - 391,K,
279,Brc1ccc(Br)cc1.Oc1ccccc1,Preferred Calculated Glass Transition Temperature,383,K,
280,CCCCCCCCOC(=O)C(=C)C,Glass Transition Temperature,203 - 253,K,
281,CCCCCCCCOC(=O)C(=C)C,Preferred Glass Transition Temperature,228,K,
282,CCCCCCCCOC(=O)C(=C)C,Calculated Glass Transition Temperature,234,K,
283,CC(=C)c1ccccc1,Glass Transition Temperature,435 - 455,K,
284,CC(=C)c1ccccc1,Preferred Glass Transition Temperature,445,K,
285,CC(=C)c1ccccc1,Calculated Glass Transition Temperature,401 - 469,K,
286,CC(=C)c1ccccc1,Preferred Calculated Glass Transition Temperature,435,K,
287,CCCOC(=O)/C=C/C(=O)OCCC,Glass Transition Temperature,258 - 260,K,
288,CCCOC(=O)/C=C/C(=O)OCCC,Preferred Glass Transition Temperature,259,K,
289,CCCOC(=O)/C=C/C(=O)OCCC,Calculated Glass Transition Temperature,251 - 294,K,
290,CCCOC(=O)/C=C/C(=O)OCCC,Preferred Calculated Glass Transition Temperature,266,K,
291,CCCCOC(=O)C=C,Glass Transition Temperature,218 - 224,K,
292,CCCCOC(=O)C=C,Preferred Glass Transition Temperature,220,K,
293,CCCCOC(=O)C=C,Calculated Glass Transition Temperature,229 - 233,K,
294,CCCCOC(=O)C=C,Preferred Calculated Glass Transition Temperature,229,K,
295,Oc1c(C)cc(cc1C)C(c1cc(C)c(c(c1)C)O)(C)C.ClC(=O)Cl,Glass Transition Temperature,467,K,
296,Oc1c(C)cc(cc1C)C(c1cc(C)c(c(c1)C)O)(C)C.ClC(=O)Cl,Calculated Glass Transition Temperature,447 - 471,K,
297,Oc1c(C)cc(cc1C)C(c1cc(C)c(c(c1)C)O)(C)C.ClC(=O)Cl,Preferred Calculated Glass Transition Temperature,460,K,
298,COC(=O)CC(=C)C(=O)OC,Glass Transition Temperature,368 - 377,K,
299,COC(=O)CC(=C)C(=O)OC,Preferred Glass Transition Temperature,373,K,
300,COC(=O)CC(=C)C(=O)OC,Calculated Glass Transition Temperature,361 - 371,K,
301,COC(=O)CC(=C)C(=O)OC,Preferred Calculated Glass Transition Temperature,366,K,
302,OC(=O)CCC(=O)O.OCCCCO,Glass Transition Temperature,233 - 242,K,
303,OC(=O)CCC(=O)O.OCCCCO,Preferred Glass Transition Temperature,237,K,
304,OC(=O)CCC(=O)O.OCCCCO,Calculated Glass Transition Temperature,231 - 255,K,
305,OC(=O)CCC(=O)O.OCCCCO,Preferred Calculated Glass Transition Temperature,238,K,
306,FC(=C)F,Glass Transition Temperature,212 - 286,K,
307,FC(=C)F,Preferred Glass Transition Temperature,242,K,
308,FC(=C)F,Calculated Glass Transition Temperature,206 - 278,K,
309,FC(=C)F,Preferred Calculated Glass Transition Temperature,242,K,
310,CCCCC(=O)OC=C,Calculated Glass Transition Temperature,245 - 253,K,
311,CCCCC(=O)OC=C,Preferred Calculated Glass Transition Temperature,248,K,
312,C=C(C)CC,Glass Transition Temperature,268,K,
313,C=C(C)CC,Calculated Glass Transition Temperature,222 - 287,K,
314,C=C(C)CC,Preferred Calculated Glass Transition Temperature,255,K,
315,Clc1cc2CCc3ccc(CCc1cc2)cc3Cl,Glass Transition Temperature,343 - 373,K,
316,Clc1cc2CCc3ccc(CCc1cc2)cc3Cl,Preferred Glass Transition Temperature,358,K,
317,Clc1cc2CCc3ccc(CCc1cc2)cc3Cl,Calculated Glass Transition Temperature,350 - 361,K,
318,Clc1cc2CCc3ccc(CCc1cc2)cc3Cl,Preferred Calculated Glass Transition Temperature,356,K,
319,CC(=O)OC=C,Glass Transition Temperature,297 - 315,K,
320,CC(=O)OC=C,Preferred Glass Transition Temperature,307,K,
321,CC(=O)OC=C,Calculated Glass Transition Temperature,298 - 316,K,
322,CC(=O)OC=C,Preferred Calculated Glass Transition Temperature,308,K,
323,C1Cc2ccc(cc2)CCc2ccc1cc2,Glass Transition Temperature,333 - 353,K,
324,C1Cc2ccc(cc2)CCc2ccc1cc2,Preferred Glass Transition Temperature,343,K,
325,C1Cc2ccc(cc2)CCc2ccc1cc2,Calculated Glass Transition Temperature,316 - 354,K,
326,C1Cc2ccc(cc2)CCc2ccc1cc2,Preferred Calculated Glass Transition Temperature,333,K,
327,Nc1cc(ccc1)N.ClC(=O)c1cc(ccc1)C(=O)Cl,Glass Transition Temperature,513 - 553,K,
328,Nc1cc(ccc1)N.ClC(=O)c1cc(ccc1)C(=O)Cl,Preferred Glass Transition Temperature,537,K,
329,Nc1cc(ccc1)N.ClC(=O)c1cc(ccc1)C(=O)Cl,Calculated Glass Transition Temperature,486 - 533,K,
